iter	Passed	Remaining
401	18780	27936
402	18829	27893
403	18882	27855
404	18932	27814
405	18982	27772
406	19042	27744
407	19101	27715
408	19161	27688
409	19214	27649
410	19262	27605
411	19314	27565
412	19367	27527
413	19419	27486
414	19475	27453
415	19528	27415
416	19583	27379
417	19638	27342
418	19689	27302
419	19744	27265
420	19795	27224
421	19852	27191
422	19907	27155
423	19957	27112
424	20014	27078
425	20065	27036
426	20120	26999
427	20175	26963
428	20227	26922
429	20278	26881
430	20332	26842
431	20390	26809
432	20439	26765
433	20492	26724
434	20547	26688
435	20604	26653
436	20657	26613
437	20709	26572
438	20762	26532
439	20813	26490
440	20864	26446
441	20912	26400
442	20964	26359
443	21012	26313
444	21071	26280
445	21126	26242
446	21177	26199
447	21223	26150
448	21272	26105
449	21330	26070
450	21384	26031
451	21430	25982
452	21484	25942
453	21529	25892
454	21585	25855
455	21637	25813
456	21698	25781
457	21751	25741
458	21804	25699
459	21858	25660
460	21909	25616
461	21961	25573
462	22008	25525
463	22061	25484
464	22115	25444
465	22167	25402
466	22221	25362
467	22267	25313
468	22328	25280
469	22382	25240
470	22429	25191
471	22479	25146
472	22539	25112
473	22592	25070
474	22643	25027
475	22703	24992
476	22757	24952
477	22805	24905
478	22871	24877
479	22935	24846
480	22987	24803
481	23035	24756
482	23082	24707
483	23135	24665
484	23188	24623
485	23236	24575
486	23290	24533
487	23336	24483
488	23386	24438
489	23440	24396
490	23488	24349
491	23540	24305
492	23592	24262
493	23646	24220
494	23688	24166
495	23739	24122
496	23775	24062
497	23830	24022
498	23888	23983
499	23939	23939
500	23993	23897
501	24065	23874
502	24124	23837
503	24186	23802
504	24245	23765
505	24297	23721
506	24347	23675
507	24394	23626
508	24452	23587
509	24505	23544
510	24561	23503
511	24612	23458
512	24663	23413
513	24721	23374
514	24773	23330
515	24826	23286
516	24877	23241
517	24928	23196
518	24995	23165
519	25051	23124
520	25106	23082
521	25170	23048
522	25212	22995
523	25272	22957
524	25323	22911
525	25374	22865
526	25424	22819
527	25476	22774
528	25524	22726
529	25588	22691
530	25637	22643
531	25684	22594
532	25739	22552
533	25796	22511
534	25848	22466
535	25897	22418
536	25952	22376
537	26008	22334
538	26072	22299
539	26131	22259
540	26189	22220
541	26241	22174
542	26287	22124
543	26342	22080
544	26398	22038
545	26449	21993
546	26501	21947
547	26559	21906
548	26615	21864
549	26676	21826
550	26725	21778
551	26781	21735
552	26832	21689
553	26881	21640
554	26932	21594
555	26986	21550
556	27038	21504
557	27094	21462
558	27147	21416
559	27195	21367
560	27243	21318
561	27298	21275
562	27348	21228
563	27401	21183
564	27456	21139
565	27511	21095
566	27561	21047
567	27617	21005
568	27677	20965
569	27724	20914
570	27776	20869
